txn_id,user_id,timestamp,amount,device_id,city,hour,device_change,geo_change,if_score,if_label,flag
T00001,U1051,22-09-2025 19:49,232,D7,CityB,19,0,0,0.230648612,1,0
T00002,U1082,21-09-2025 23:23,276,D11,CityE,23,0,0,0.093454445,1,0
T00003,U1099,22-09-2025 00:25,175,D24,CityD,0,0,0,0.116119462,1,0
T00004,U1029,22-09-2025 02:05,208,D28,CityE,2,0,0,0.189747499,1,0
T00005,U1032,22-09-2025 04:18,69,D17,CityC,4,0,0,0.045607567,1,0
T00006,U1058,22-09-2025 06:35,247,D28,CityD,6,0,0,0.181520473,1,0
T00007,U1079,22-09-2025 02:35,211,D12,CityD,2,0,0,0.184406092,1,0
T00008,U1063,22-09-2025 08:12,161,D5,CityC,8,0,0,0.191310211,1,0
T00009,U1006,22-09-2025 01:05,169,D20,CityD,1,0,0,0.155192228,1,0
T00010,U1059,21-09-2025 23:55,185,D29,CityC,23,0,0,0.152765313,1,0
T00011,U1077,22-09-2025 06:23,228,D6,CityB,6,0,0,0.20164138,1,0
T00012,U1003,22-09-2025 01:26,164,D18,CityB,1,0,0,0.151321119,1,0
T00013,U1043,22-09-2025 19:32,210,D16,CityD,19,0,0,0.234164312,1,0
T00014,U1061,22-09-2025 04:48,244,D16,CityE,4,0,0,0.174877192,1,0
T00015,U1081,22-09-2025 09:57,223,D28,CityD,9,0,0,0.217976126,1,0
T00016,U1040,22-09-2025 04:06,204,D13,CityA,4,0,0,0.208666415,1,0
T00017,U1088,22-09-2025 20:41,166,D24,CityC,20,0,0,0.214779733,1,0
T00018,U1080,22-09-2025 14:04,230,D3,CityA,14,0,0,0.230595674,1,0
T00019,U1004,22-09-2025 19:13,233,D9,CityD,19,0,0,0.227332022,1,0
T00020,U1033,21-09-2025 23:17,212,D23,CityE,23,0,0,0.161050114,1,0
T00021,U1098,22-09-2025 11:11,222,D3,CityE,11,0,0,0.226275339,1,0
T00022,U1046,22-09-2025 14:07,115,D1,CityE,14,0,0,0.166970023,1,0
